,Title,Published_date,Views,Likes,Comments,Month
119,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),24-07-2020,8092,246,200,Jul
120,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),22-07-2020,1834,98,27,Jul
121,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),20-07-2020,27558,551,90,Jul
122,Beginner Kaggle Data Science Project Walk-Through (Titanic),17-07-2020,268000,6246,398,Jul
123,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,16-07-2020,29404,1094,120,Jul
124,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),13-07-2020,3518,133,50,Jul
125,The Best Computer for Data Science Beginners,10-07-2020,34908,810,157,Jul
126,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,08-07-2020,6048,228,82,Jul
127,Critiquing MY OWN Data Science Resume,06-07-2020,12325,389,90,Jul
128,Where to Start Learning Data Science,03-07-2020,18187,770,129,Jul
129,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",01-07-2020,3976,196,37,Jul
130,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),29-06-2020,4464,175,54,Jun
131,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,26-06-2020,15435,539,79,Jun
132,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),22-06-2020,2342,82,40,Jun
133,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",20-06-2020,2370,138,51,Jun
134,Reviewing Your Data Science Projects - Episode 8 (College Student Help),15-06-2020,4214,165,46,Jun
135,Why You're Struggling to Learn Data Science,12-06-2020,15061,1006,160,Jun
136,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),08-06-2020,10529,324,70,Jun
137,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],05-06-2020,21911,652,148,Jun
138,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),01-06-2020,5648,155,53,Jun
139,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],29-05-2020,61764,1986,262,May
140,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),25-05-2020,20878,487,81,May
141,Different Data Science Roles Explained (by a Data Scientist),22-05-2020,51329,1821,176,May
142,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),18-05-2020,11105,177,55,May
143,How to Make A Data Science Portfolio Website with Github Pages,15-05-2020,105919,3828,190,May
144,10000 Subscriber and 100th Video Special (Data Science),13-05-2020,3090,146,115,May
